,rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license
2064,4.0,no,bkcchi,1 (mono),2010-10-15,both,18,XC114073.mp3,both,Black-capped Chickadee,4-6,XC114073 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Environmental Learning Center, Fort Collins, Larimer Cty., Colorado",40.557,48000 (Hz),call,1500 m,Three individuals foraging in the open woods near the river.,48000 (bps),mp3,increasing,,114073,https://www.xeno-canto.org/114073,United States,Eric DeFonso,Poecile atricapillus_Black-capped Chickadee,-105.017,0-3(s),11:46,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2065,4.5,no,bkcchi,1 (mono),2012-12-03,Not specified,83,XC114086.mp3,Not specified,Black-capped Chickadee,Not specified,XC114086 Black-capped Chickadee (Poecile atricapillus),['Corvus brachyrhynchos_American Crow'],yes,Poecile atricapillus," Powderhorn Park, Minneapolis, Hennepin, Minnesota",44.942,44100 (Hz),call,260 m,"Calls from a single bird foraging in conifer tree in an urban park.

Distance to microphone: 2m.",128000 (bps),mp3,Not specified,American Crow (Corvus brachyrhynchos),114086,https://www.xeno-canto.org/114086,United States,Jonathon Jongsma,Poecile atricapillus_Black-capped Chickadee,-93.259,Not specified,14:26,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0
2066,4.5,no,bkcchi,2 (stereo),2013-02-02,decreasing,33,XC120878.mp3,decelerating,Black-capped Chickadee,7-20,XC120878 Black-capped Chickadee (Poecile atricapillus),['Sitta canadensis_Red-breasted Nuthatch'],yes,Poecile atricapillus," Stoneham-et-Tewkesbury, La Jacques-Cartier, Québec",47.0655,44100 (Hz),call,380 m,One of the three individuals foraging in a tree.,128000 (bps),mp3,increasing,Red-breasted Nuthatch (Sitta canadensis),120878,https://www.xeno-canto.org/120878,Canada,Martin St-Michel,Poecile atricapillus_Black-capped Chickadee,-71.4145,0-3(s),08:51,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2067,5.0,no,bkcchi,1 (mono),2013-02-03,Not specified,51,XC121068.mp3,Not specified,Black-capped Chickadee,Not specified,XC121068 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Minnesota Valley NWR, Bass Ponds, Hennepin, Minnesota",44.84,44100 (Hz),call,220 m,Two individuals flitting about in the tree above my head.,192000 (bps),mp3,Not specified,,121068,https://www.xeno-canto.org/121068,United States,Jonathon Jongsma,Poecile atricapillus_Black-capped Chickadee,-93.236,Not specified,09:30,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0
2068,3.5,no,bkcchi,2 (stereo),2013-03-03,Not specified,59,XC123506.mp3,Not specified,Black-capped Chickadee,Not specified,XC123506 Black-capped Chickadee (Poecile atricapillus),['Corvus brachyrhynchos_American Crow'],yes,Poecile atricapillus," St. Mary's Cemetery, Minneapolis, Hennepin, Minnesota",44.9215,48000 (Hz),call,260 m,"Soft, high-pitched chatter calls between a pair of chickadees after flying together into an ash tree in an urban cemetery.

Distance to mic: ~15m.  Recorded with homemade parabolic reflector and Olympus LS-10S.",192000 (bps),mp3,Not specified,American Crow (Corvus brachyrhynchos),123506,https://www.xeno-canto.org/123506,United States,Jonathon Jongsma,Poecile atricapillus_Black-capped Chickadee,-93.2587,Not specified,06:40,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0
2069,5.0,no,bkcchi,2 (stereo),2013-04-27,level,18,XC131952.mp3,level,Black-capped Chickadee,1-3,XC131952 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Réserve nationale de faune du cap Tourmente, La Côte-de-Beaupré, Québec",47.069,44100 (Hz),call,0 m,One individual calling from a treetop.,128000 (bps),mp3,level,,131952,https://www.xeno-canto.org/131952,Canada,Martin St-Michel,Poecile atricapillus_Black-capped Chickadee,-70.7935,0-3(s),08:26,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2070,4.5,no,bkcchi,1 (mono),2013-05-05,Not specified,235,XC132861.mp3,Not specified,Black-capped Chickadee,Not specified,XC132861 Black-capped Chickadee (Poecile atricapillus),"['Setophaga coronata_Yellow-rumped Warbler', 'Corvus brachyrhynchos_American Crow']",yes,Poecile atricapillus," Lake Bemidji State Park, Beltrami, Minnesota",47.5392,48000 (Hz),"song,call",420 m,Several birds singing from trees in campground,192000 (bps),mp3,Not specified,Myrtle Warbler (Setophaga coronata); American Crow (Corvus brachyrhynchos),132861,https://www.xeno-canto.org/132861,United States,Jonathon Jongsma,Poecile atricapillus_Black-capped Chickadee,-94.8263,Not specified,14:25,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0
2071,4.0,no,bkcchi,1 (mono),1994-02-04,Not specified,131,XC134017.mp3,Not specified,Black-capped Chickadee,Not specified,XC134017 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Manomet Bird Observatory, Manomet, Plymouth County, Massachusetts",41.92,44100 (Hz),"alarm call, call, song",20 m,Vocalizations (several) probably response to pishing from a group of birds in coastal second growth around cranberry bog.,128000 (bps),mp3,Not specified,,134017,https://www.xeno-canto.org/134017,United States,Dan Lane,Poecile atricapillus_Black-capped Chickadee,-70.543,Not specified,?,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2072,3.5,no,bkcchi,2 (stereo),2013-05-25,decreasing,25,XC135477.mp3,level,Black-capped Chickadee,1-3,XC135477 Black-capped Chickadee (Poecile atricapillus),"['Regulus satrapa_Golden-crowned Kinglet', 'Setophaga caerulescens_Black-throated Blue Warbler']",yes,Poecile atricapillus," New Found Gap, North Carolina",35.6109,44100 (Hz),song,1500 m,,128000 (bps),mp3,level,Golden-crowned Kinglet (Regulus satrapa); Black-throated Blue Warbler (Setophaga caerulescens),135477,https://www.xeno-canto.org/135477,United States,Mike Nelson,Poecile atricapillus_Black-capped Chickadee,-83.425,0-3(s),09:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2073,4.0,no,bkcchi,2 (stereo),2013-05-25,decreasing,8,XC135478.mp3,level,Black-capped Chickadee,1-3,XC135478 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," New Found Gap, North Carolina",35.6109,44100 (Hz),song,1500 m,,128000 (bps),mp3,level,,135478,https://www.xeno-canto.org/135478,United States,Mike Nelson,Poecile atricapillus_Black-capped Chickadee,-83.425,0-3(s),09:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
